2023-04-24 10:21:40.900 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 10:21:40.947 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 9140 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-24 10:21:40.948 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 10:21:41.727 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 10:21:41.730 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 10:21:41.765 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2023-04-24 10:21:42.390 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 10:21:42.397 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 10:21:42.398 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 10:21:42.398 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 10:21:42.488 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 10:21:42.488 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1508 ms
2023-04-24 10:21:42.992 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-04-24 10:21:43.002 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-04-24 10:24:53.536 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 10:24:53.572 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 16168 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-24 10:24:53.573 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 10:24:54.303 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 10:24:54.305 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 10:24:54.346 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2023-04-24 10:24:54.904 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 10:24:54.912 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 10:24:54.912 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 10:24:54.912 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 10:24:54.993 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 10:24:54.994 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1380 ms
2023-04-24 10:24:55.454 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-04-24 10:24:55.465 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-04-24 10:31:24.648 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 10:31:24.688 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 15744 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-24 10:31:24.688 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 10:31:25.400 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 10:31:25.403 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 10:31:25.430 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2023-04-24 10:31:26.000 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 10:31:26.007 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 10:31:26.008 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 10:31:26.008 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 10:31:26.091 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 10:31:26.091 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1368 ms
2023-04-24 10:31:26.543 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-04-24 10:31:26.553 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-04-24 10:32:52.497 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 10:32:52.543 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 32760 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-24 10:32:52.545 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 10:32:53.255 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 10:32:53.257 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
