2023-04-25 13:29:24.581 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 13:29:28.546 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.439 seconds (process running for 5.997)
2023-04-25 13:29:42.963 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 13:29:42.963 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 13:29:42.966 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-04-25 13:51:45.059 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-25 13:51:51.177 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 13:51:51.222 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 11900 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-25 13:51:51.224 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 13:51:51.987 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 13:51:51.990 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 13:51:52.022 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2023-04-25 13:51:52.626 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 13:51:52.634 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 13:51:52.635 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 13:51:52.635 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 13:51:52.716 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 13:51:52.716 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1448 ms
2023-04-25 13:51:53.022 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-04-25 13:51:53.037 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-04-25 13:52:29.166 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 13:52:29.215 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 27112 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-25 13:52:29.216 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 13:52:30.166 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 13:52:30.168 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 13:52:30.212 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 0 Redis repository interfaces.
2023-04-25 13:52:30.890 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 13:52:30.899 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 13:52:30.899 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 13:52:30.900 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 13:52:31.000 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 13:52:31.000 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1746 ms
2023-04-25 13:52:32.776 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6843fdc4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@147375b3, org.springframework.security.web.context.SecurityContextHolderFilter@62de20d3, org.springframework.security.web.header.HeaderWriterFilter@185a0811, org.springframework.security.web.authentication.logout.LogoutFilter@3f033664, top.lilong.security.filter.AuthenticationTokenFilter@7657d90b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4c9ef9c9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f976c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6f430ea8, org.springframework.security.web.session.SessionManagementFilter@28d56028, org.springframework.security.web.access.ExceptionTranslationFilter@6f22c1f1, org.springframework.security.web.access.intercept.AuthorizationFilter@5305f936]
2023-04-25 13:52:33.148 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 13:52:33.174 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 13:52:33.183 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.413 seconds (process running for 5.309)
2023-04-25 14:25:20.753 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-25 14:25:26.236 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:25:26.274 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 16580 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-25 14:25:26.275 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:25:26.996 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:25:26.998 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:25:27.027 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2023-04-25 14:25:27.623 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:25:27.635 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:25:27.636 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:25:27.636 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 14:25:27.724 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:25:27.724 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1414 ms
2023-04-25 14:25:29.405 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@11a67420, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@663cf5d7, org.springframework.security.web.context.SecurityContextHolderFilter@19213a74, org.springframework.security.web.header.HeaderWriterFilter@44618fe6, org.springframework.security.web.authentication.logout.LogoutFilter@78e97d4d, top.lilong.security.filter.AuthenticationTokenFilter@756c67cd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@719bb60d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5981f2c6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11b14ae3, org.springframework.security.web.session.SessionManagementFilter@2dd08ff1, org.springframework.security.web.access.ExceptionTranslationFilter@7b0525a8, org.springframework.security.web.access.intercept.AuthorizationFilter@335896bd]
2023-04-25 14:25:29.742 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:25:29.761 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 14:25:29.770 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 3.905 seconds (process running for 4.717)
2023-04-25 14:25:40.865 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 14:25:40.866 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 14:25:40.869 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-04-25 14:26:04.263 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-25 14:26:07.709 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:26:07.746 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 23620 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-25 14:26:07.747 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:26:08.465 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:26:08.468 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:26:08.497 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2023-04-25 14:26:09.086 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:26:09.094 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:26:09.094 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:26:09.094 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 14:26:09.180 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:26:09.181 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1401 ms
2023-04-25 14:26:10.861 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@8f09a02, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5454be, org.springframework.security.web.context.SecurityContextHolderFilter@5bccef9f, org.springframework.security.web.header.HeaderWriterFilter@58f97013, org.springframework.security.web.authentication.logout.LogoutFilter@44618fe6, top.lilong.security.filter.AuthenticationTokenFilter@4b343b6d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5a537a16, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@72288480, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2dd08ff1, org.springframework.security.web.session.SessionManagementFilter@4e80960a, org.springframework.security.web.access.ExceptionTranslationFilter@61becbcf, org.springframework.security.web.access.intercept.AuthorizationFilter@1f72fbd1]
2023-04-25 14:26:11.215 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:26:11.234 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 14:26:11.244 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 3.899 seconds (process running for 4.731)
2023-04-25 14:26:27.297 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 14:26:27.298 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 14:26:27.301 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-04-25 14:27:50.050 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-25 14:27:55.000 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:27:55.040 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 14992 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-25 14:27:55.042 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:27:55.807 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:27:55.809 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:27:55.844 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2023-04-25 14:27:56.524 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:27:56.539 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:27:56.540 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:27:56.540 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 14:27:56.628 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:27:56.631 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1551 ms
2023-04-25 14:27:58.420 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7096d451, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7816454d, org.springframework.security.web.context.SecurityContextHolderFilter@1203d787, org.springframework.security.web.header.HeaderWriterFilter@62de20d3, org.springframework.security.web.authentication.logout.LogoutFilter@69944a90, top.lilong.security.filter.AuthenticationTokenFilter@17d2b646, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6f785a27, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@443dae2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@67d180e4, org.springframework.security.web.session.SessionManagementFilter@5a6af2c4, org.springframework.security.web.access.ExceptionTranslationFilter@6c56fff, org.springframework.security.web.access.intercept.AuthorizationFilter@af04f09]
2023-04-25 14:27:58.796 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:27:58.815 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 14:27:58.824 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.189 seconds (process running for 5.031)
2023-04-25 14:28:06.433 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 14:28:06.433 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 14:28:06.435 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-25 14:28:07.339 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-25 14:28:07.536 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@2e43038b
2023-04-25 14:28:07.538 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-25 14:28:34.551 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-25 14:28:34.610 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-25 14:28:34.618 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-25 14:28:39.731 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:28:39.769 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 25788 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-25 14:28:39.770 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:28:40.658 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:28:40.661 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:28:40.698 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2023-04-25 14:28:41.386 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:28:41.394 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:28:41.394 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:28:41.394 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 14:28:41.479 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:28:41.479 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1673 ms
2023-04-25 14:28:43.478 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6b33892a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@666b91db, org.springframework.security.web.context.SecurityContextHolderFilter@37dec463, org.springframework.security.web.header.HeaderWriterFilter@7b0525a8, org.springframework.security.web.authentication.logout.LogoutFilter@af04f09, top.lilong.security.filter.AuthenticationTokenFilter@7de6549d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@19213a74, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@30a791a6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11a67420, org.springframework.security.web.session.SessionManagementFilter@8f09a02, org.springframework.security.web.access.ExceptionTranslationFilter@3cc6f036, org.springframework.security.web.access.intercept.AuthorizationFilter@1293f8d7]
2023-04-25 14:28:43.846 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:28:43.868 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 14:28:43.879 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.516 seconds (process running for 5.486)
2023-04-25 14:29:03.251 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 14:29:03.252 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 14:29:03.254 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-04-25 14:29:04.216 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-25 14:29:04.415 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@2b39b85d
2023-04-25 14:29:04.417 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-25 14:32:31.204 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-25 14:32:31.260 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-25 14:32:31.264 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-25 14:32:34.781 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 14:32:34.817 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 32156 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-25 14:32:34.818 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 14:32:35.687 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 14:32:35.689 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 14:32:35.721 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2023-04-25 14:32:36.295 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 14:32:36.302 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 14:32:36.302 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 14:32:36.303 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 14:32:36.387 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 14:32:36.391 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1535 ms
2023-04-25 14:32:39.273 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@79424f25, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5fd4e67f, org.springframework.security.web.context.SecurityContextHolderFilter@6abb44cb, org.springframework.security.web.header.HeaderWriterFilter@5bccef9f, org.springframework.security.web.authentication.logout.LogoutFilter@19213a74, top.lilong.security.filter.AuthenticationTokenFilter@11574592, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e3cb58e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@18f8e2e0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@59b1edab, org.springframework.security.web.session.SessionManagementFilter@434d001d, org.springframework.security.web.access.ExceptionTranslationFilter@2a0c244e, org.springframework.security.web.access.intercept.AuthorizationFilter@3f033664]
2023-04-25 14:32:39.708 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 14:32:39.731 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
