2023-04-26 20:35:47.647 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2b6ee447, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9cb927e, org.springframework.security.web.context.SecurityContextHolderFilter@5981f2c6, org.springframework.security.web.header.HeaderWriterFilter@5a6af2c4, org.springframework.security.web.authentication.logout.LogoutFilter@67d180e4, top.lilong.security.filter.AuthenticationTokenFilter@7de6549d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@45451333, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6942ee48, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8585cdd, org.springframework.security.web.session.SessionManagementFilter@19213a74, org.springframework.security.web.access.ExceptionTranslationFilter@2b15ba1a, org.springframework.security.web.access.intercept.AuthorizationFilter@11a67420]
2023-04-26 20:35:48.135 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-26 20:35:48.173 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-26 20:35:48.186 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.619 seconds (process running for 5.874)
2023-04-26 20:35:49.790 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-26 20:35:49.790 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-26 20:35:49.793 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-04-26 20:35:51.032 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-26 20:35:51.184 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@23c939e1
2023-04-26 20:35:51.186 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-26 20:42:13.478 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-26 20:42:13.536 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-26 20:42:13.541 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-26 20:42:17.080 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
